name,position
Arturs Krišjānis Kariņš,Prime Minister
Artis Pabriks,Deputy Prime Minister
Artis Pabriks,Minister for Defence
Jānis Bordāns,Deputy Prime Minister
Jānis Bordāns,Minister for Justice
Edgars Rinkēvičs,Minister for Foreign Affairs
Jānis Reirs,Minister for Finance
Jānis Vitenbergs,Minister for Economics
Marija Golubeva,Minister for Interior
Anita Muižniece,Minister for Education and Science
Nauris Puntulis,Minister for Culture
Gatis Eglītis,Minister for Welfare
Tālis Linkaits,Minister for Transport
Daniels Pavļuts,Minister for Health
Kaspars Gerhards,Minister for Agriculture
Arturs Toms Plešs,Minister for Environmental Protection and Regional Development
