ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,isa,isaLabel,parent,parentLabel,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q3112032,Emsis Cabinet,,,,,,,,,Q2502537,Government of Latvia,,,Q3112425,Repše cabinet,Q457853,First Kalvītis cabinet,,,,
,Q3112692,3rd Šķēle Cabinet,,,,,,,,,Q2502537,Government of Latvia,,,Q3112208,Krištopans cabinet,Q3111942,Bērziņš cabinet,,,,
,Q16357756,Q16357756,,,,,,,,,Q2502537,Government of Latvia,,,,,,,,,,
,Q16357760,Q16357760,,,,,,,,,Q2502537,Government of Latvia,,,,,Q6436359,Krasts cabinet,,,,
,Q5453056,First Godmanis cabinet,1990-05-07,11,,,1993-08-03,11,,,Q2502537,Government of Latvia,,,,,,,,,,
,Q4916385,Birkavs cabinet,1993-08-03,11,,,1994-09-19,11,,,Q2502537,Government of Latvia,,,,,,,,,,
,Q5517189,Gailis cabinet,1994-09-19,11,,,1995-12-21,11,,,Q2502537,Government of Latvia,,,,,,,,,,
,Q6436359,Krasts cabinet,1997-08-07,11,,,1998-11-26,11,,,Q2502537,Government of Latvia,,,Q16357760,Q16357760,Q3112208,Krištopans cabinet,,,,
,Q3112208,Krištopans cabinet,1998-11-26,11,,,1999-07-16,11,,,Q2502537,Government of Latvia,,,Q6436359,Krasts cabinet,Q3112692,3rd Šķēle Cabinet,,,,
,Q3111942,Bērziņš cabinet,2000-05-05,11,,,2002-11-07,11,,,Q2502537,Government of Latvia,,,Q3112692,3rd Šķēle Cabinet,Q3112425,Repše cabinet,,,,
,Q3112425,Repše cabinet,2002-11-07,11,,,2004-03-09,11,,,Q2502537,Government of Latvia,,,Q3111942,Bērziņš cabinet,Q3112032,Emsis Cabinet,,,,
,Q457853,First Kalvītis cabinet,2004-12-02,11,,,2006-11-07,11,,,Q2502537,Government of Latvia,,,Q3112032,Emsis Cabinet,Q3112196,Second Kalvītis cabinet,,,,
,Q3112196,Second Kalvītis cabinet,2006-11-07,11,,,2007-12-20,11,,,Q2502537,Government of Latvia,,,Q457853,First Kalvītis cabinet,Q3028112,Second Godmanis cabinet,,,,
,Q3028112,Second Godmanis cabinet,2007-12-20,11,,,2009-03-12,11,,,Q2502537,Government of Latvia,,,Q3112196,Second Kalvītis cabinet,Q1719846,First Dombrovskis cabinet,,,,
,Q1719846,First Dombrovskis cabinet,2009-03-12,11,,,2010-11-03,11,,,Q2502537,Government of Latvia,,,Q3028112,Second Godmanis cabinet,Q1719848,Second Dombrovskis cabinet,,,,
,Q1719848,Second Dombrovskis cabinet,2010-11-03,11,,,2011-10-25,11,,,Q2502537,Government of Latvia,,,Q1719846,First Dombrovskis cabinet,Q1655929,Third Dombrovskis cabinet,,,,
,Q1655929,Third Dombrovskis cabinet,2011-10-25,11,,,2014-01-22,11,,,Q2502537,Government of Latvia,,,Q1719848,Second Dombrovskis cabinet,Q15635542,First Straujuma cabinet,,,Q15635542,First Straujuma cabinet
,Q15635542,First Straujuma cabinet,2014-01-22,11,,,2014-11-05,11,,,Q2502537,Government of Latvia,,,Q1655929,Third Dombrovskis cabinet,Q18507353,Second Straujuma cabinet,Q1655929,Third Dombrovskis cabinet,Q18507353,Second Straujuma cabinet
,Q18507353,Second Straujuma cabinet,2014-11-05,11,,,2016-02-11,11,,,Q2502537,Government of Latvia,,,Q15635542,First Straujuma cabinet,Q22680981,Kučinskis cabinet,Q15635542,First Straujuma cabinet,Q22680981,Kučinskis cabinet
,Q22680981,Kučinskis cabinet,2016-02-11,11,,,2019-01-23,11,,,Q2502537,Government of Latvia,,,Q18507353,Second Straujuma cabinet,Q60890402,Kariņš cabinet,Q18507353,Second Straujuma cabinet,Q60890402,Kariņš cabinet
,Q60890402,Kariņš cabinet,2019-01-23,11,,,,,,,Q2502537,Government of Latvia,,,Q22680981,Kučinskis cabinet,,,Q22680981,Kučinskis cabinet,,
