item,itemLabel,position,positionLabel,start,psid
Q11731915,Jānis Reirs,Q6590389,Minister of Finance,2019-01-23,Q11731915-116FB092-6E6F-4746-B96F-6005D87360BF
Q3015072,Daniels Pavļuts,Q98966157,Minister of Health,2021-01-08,Q3015072-375DB2F6-D6E1-4386-AC01-5957F805BF4B
Q3047551,Edgars Rinkēvičs,Q57125919,Minister of Foreign Affairs,2011-10-25,Q3047551-A934D6EB-A747-4A91-8617-192120C66785
Q3191217,Jānis Bordāns,Q16361570,Deputy Prime Minister,2019-01-23,Q3191217-898D9031-3958-4A38-9C1F-EF4BC9D1AD3F
Q3191217,Jānis Bordāns,Q16361611,Minister of Justice,2019-01-23,Q3191217-2927D8A1-1A9C-473F-B111-91884ED5ED85
Q3736499,Krišjānis Kariņš,Q369500,Prime Minister of Latvia,2019-01-23,Q3736499-6bc9d4e3-4e1f-820c-a4ff-b205381345f2
Q56449573,Nauris Puntulis,Q25907368,Minister of Culture,2019-07-08,Q56449573-01F1A53B-A425-475B-92F5-C09E31BAF564
Q58371477,Gatis Eglītis,Q16361597,Minister for Welfare,2021-06-03,Q58371477-124F45A6-DFF3-44FC-96AC-B5D321185D87
Q58371482,Marija Golubeva,Q107710591,Minister for Interior,2021-06-03,Q58371482-E85411E3-703A-4AD1-ABE2-6106D19300F2
Q58371498,Tālis Linkaits,Q16361608,Minister of Transport,2019-01-23,Q58371498-D519BC57-FE21-4B4B-B939-BFE37EAC3D80
Q58371500,Anita Muižniece,Q16361594,Minister of Education and Science,2021-06-03,Q58371500-C0C57051-B2F1-424B-BB8B-E8D0DA95C6A6
Q58371508,Artūrs Toms Plešs,Q16361617,Minister for the Environmental Protection and Regional Development of Latvia,2020-12-17,Q58371508-408B3082-0ECF-4A95-823D-847D9875BF0C
Q58371528,Jānis Vitenbergs,Q20557220,Minister of the Economy,2021-06-03,Q58371528-A0B9DC59-AB9F-49A9-9D02-0DB3CCA8E8D8
Q6111944,Kaspars Gerhards,Q16361623,Minister of Agriculture,2019-01-23,Q6111944-a98257f4-4f71-3fb7-99c4-13a8a99b98d4
Q713138,Artis Pabriks,Q16361570,Deputy Prime Minister,2019-01-23,Q713138-75F23FCE-76D8-4F0B-8E6C-80AAB5DD9164
Q713138,Artis Pabriks,Q6590375,Minister of Defence,2019-01-23,Q713138-1E3EB49F-BB81-4305-B5A1-B89C173B6A13
