position,title
Q218014,President
Q369500,Prime Minister
Q16361570,Deputy Prime Minister
Q16361623,Minister of Agriculture
Q25907368,Minister of Culture
Q6590375,Minister of Defence
Q20557220,Minister of the Economy
Q16361594,Minister of Education and Science
Q16361620,Minister of the Environment
Q16361617,Minister for Environmental Protection and Regional Development
Q6590389,Minister of Finance
Q57125919,Minister of Foreign Affairs
Q98966157,Minister of Health
Q107710591,Minister of the Interior
Q16361611,Minister of Justice
Q16361608,Minister of Transport
Q16361597,Minister of Welfare
Q30716936,Chief of Staff to the Prime Minister
Q1630529,Speaker of the Saeima
Q66989022,Commander of the National Guard
Q109496143,Governor of the National Bank
Q11116728,Mayor of Riga
